brand,mod_arc_s,model,num_review,price,rating,true_fit,true_width
Stacy Adams,0,Hanley Moc Toe Sneaker,6,55.74,5.0,0,0
Gola,75,Tennis,5,65.0,5.0,40,100
Gola,52,Comet,28,60.0,4.0,89,84
Gola,52,Comet,28,60.0,4.0,89,84
VIONIC,0,Trent,0,149.95,0.0,0,0
Gola,0,Hurricane Suede,0,62.99,0.0,0,0
Gola,100,Daytona,6,55.98,5.0,40,100
Gola,0,Alpine Low,0,72.45,0.0,0,0
Pikolinos,0,Begur M7P-6311,0,180.0,0.0,0,0
Blackstone,0,RM37,0,188.0,0.0,0,0
Bruno Magli,0,Dano,0,350.0,0.0,0,0
BOSS Hugo Boss,0,Matrix Sneakers,0,178.0,0.0,0,0
TRAQ by Alegria,0,Quentin,0,159.95,0.0,0,0
To Boot New York,0,Desmond,0,193.6,0.0,0,0
Lacoste,0,Ace Lift 0120 3,0,75.19,0.0,0,0
Lacoste,0,Gripshot Chukka 0320 1,0,110.0,0.0,0,0
Lacoste,0,Contest 0120 4,0,64.63,0.0,0,0
BILLY Footwear,100,Sneaker Lo,1,55.99,1.0,100,100
Tommy Bahama,100,Acklins Relaxology,2,100.0,4.0,100,100
Cole Haan,79,Zerogrand Stitchlite Oxford,75,107.99,4.0,55,88
TravisMathew,0,Phenom,0,139.95,0.0,0,0
,0,,0,0,0.0,0,0
Allen Edmonds,0,A-Trainer,0,275.0,0.0,0,0
Allen Edmonds,0,Canal Court,1,170.0,5.0,0,0
Steve Madden,0,Tucker Sneaker,0,79.95,0.0,0,0
Steve Madden,0,Tucker Sneaker,0,79.95,0.0,0,0
Kenneth Cole New York,0,Bailey Jogger Sport,0,97.35,0.0,0,0
SeaVees,0,Hawthorne Slip-On Magnum,0,82.0,0.0,0,0
SeaVees,0,Hawthorne Slip-On Magnum,0,82.0,0.0,0,0
Pikolinos,0,Begur M7P-6003,0,180.0,0.0,0,0
Pikolinos,0,Begur M7P-6003,0,180.0,0.0,0,0
Ben Sherman,100,Eddie Script Lace,1,44.59,4.0,100,100
hari mari,100,Santos Retro Runner,1,94.95,4.0,100,100
Deer Stags,0,Betts,0,49.99,0.0,0,0
BOSS Hugo Boss,0,Matrix Sneakers,0,142.99,0.0,0,0
BOSS Hugo Boss,0,Block Runn Sneakers,0,298.0,0.0,0,0
BOSS Hugo Boss,0,Volcano Tenn Sneakers,0,179.99,0.0,0,0
BOSS Hugo Boss,0,Volcano Tenn Sneakers,0,179.99,0.0,0,0
BOSS Hugo Boss,0,Zero Tenn Sneakers,0,119.99,0.0,0,0
BOSS Hugo Boss,0,Maze Mixed Materials by BOSS,0,142.99,0.0,0,0
John Varvatos,0,Vulcanized Coated Linen Splatter Low Top,0,100.99,0.0,0,0
BILLY Footwear,100,Classic Lace Low Canvas,3,54.89,5.0,67,50
Lacoste,0,La Piquée 0120 1,0,90.0,0.0,0,0
Lacoste,0,La Piquée 0120 1,0,119.95,0.0,0,0
Lacoste,100,Graduate Tri 1,1,67.99,5.0,100,100
Tommy Bahama,67,Pacific Palms,3,65.0,2.0,67,67
Tommy Bahama,0,Dicot Pines,1,55.99,5.0,0,0
ECCO,0,Soft X Sneaker,0,150.0,0.0,0,0
Camper,0,Courb - K100577,0,145.0,0.0,0,0
Magnanni,100,Elonso Lo,1,267.99,4.0,100,100
,0,,0,0,0.0,0,0
,0,,0,0,0.0,0,0
,0,,0,0,0.0,0,0
Bullboxer,0,Zane,0,42.99,0.0,0,0
Bullboxer,0,Zane,0,54.99,0.0,0,0
Bullboxer,0,Hartmann,0,52.99,0.0,0,0
Kenneth Cole New York,100,Liam Sneaker,3,79.33,4.0,67,100
To Boot New York,67,Colton,3,350.0,4.0,100,100
To Boot New York,67,Colton,3,350.0,4.0,100,100
Dockers,0,Vilas,0,59.95,0.0,0,0
Bullboxer,0,Wilson,0,64.99,0.0,0,0
Bullboxer,0,Wilson,0,62.99,0.0,0,0
Josef Seibel,0,David 03,0,115.99,0.0,0,0
Josef Seibel,0,David 03,0,145.0,0.0,0,0
Josef Seibel,0,Enrico 13,0,95.73,0.0,0,0
Allen Edmonds,0,Canal Court,1,224.95,5.0,0,0
,0,,0,0,0.0,0,0
,0,,0,0,0.0,0,0
PUMA,100,Inhale Flares,3,64.18,4.0,67,100
Alexander Noel,0,Kickabout Wing Tip Sneaker Low Top,0,225.0,0.0,0,0
Magnanni,0,Dalia,0,295.0,0.0,0,0
Magnanni,0,Severo,0,395.0,0.0,0,0
Magnanni,0,Siero,0,350.0,0.0,0,0
Magnanni,0,Coto Mid,0,350.0,0.0,0,0
Magnanni,0,Elonso Mid,0,279.99,0.0,0,0
Magnanni,0,Soria,0,395.0,0.0,0,0
Magnanni,0,Elonso Lo Formal,0,335.0,0.0,0,0
Magnanni,0,Coto Lo,0,335.0,0.0,0,0
Bullboxer,0,Demitri,0,84.99,0.0,0,0
Bullboxer,0,Demitri,0,74.99,0.0,0,0
