brand,mod_arc_s,model,num_review,price,rating,true_fit,true_width
ASICS,100,GEL-Quantum® 360 6,12,149.95,4.0,100,100
ASICS,67,GEL-Scram® 6,12,69.95,4.0,83,80
ASICS,59,Novablast,157,129.95,4.0,94,94
ASICS,75,GEL-DS Trainer™ 25,45,89.95,4.0,75,100
ASICS,72,GEL-Cumulus® 22,179,119.95,4.0,84,76
ASICS,66,GEL-Kayano® 27,387,159.95,4.0,83,92
ASICS,59,Novablast,157,129.95,4.0,94,94
ASICS,75,GEL-DS Trainer™ 25,45,89.95,4.0,75,100
ASICS,0,GEL-Pulse 12 Monosock,0,89.95,0.0,0,0
ASICS,100,GEL-Quantum® 360 6,12,149.95,4.0,100,100
ASICS,84,GEL-Sonoma® 5,37,72.93,3.0,69,68
New Balance,100,Fresh Foam Sport v2,7,74.95,4.0,100,83
New Balance,100,FuelCell Prism,2,119.99,5.0,100,100
New Balance,69,1540v3,447,174.99,4.0,81,93
New Balance,74,Fresh Foam 1080v10,508,119.99,4.0,88,82
New Balance,100,Fresh Foam Roav,1,79.95,3.0,100,100
New Balance,100,Shando,1,89.95,4.0,100,100
New Balance,85,510v5,55,59.95,4.0,87,91
New Balance,73,Fresh Foam Arishi v3,54,59.95,4.0,83,86
New Balance,74,Made in US 990v5,0,174.95,0.0,87,90
New Balance,55,Fresh Foam Hierro v5 GTX,11,149.95,5.0,100,100
New Balance,100,Fresh Foam Roav Backpack,5,79.95,4.0,80,80
New Balance,74,Made in US 990v5,0,174.95,0.0,87,90
New Balance,93,Nitrel v4,16,69.99,4.0,81,100
New Balance,80,680v6,140,74.95,4.0,81,77
New Balance,74,Fresh Foam 1080v10,508,114.99,4.0,88,82
New Balance,81,Fresh Foam Tempo,93,80.92,4.0,81,85
New Balance,83,Fresh Foam Roav,20,79.95,4.0,89,100
New Balance,0,FuelCell 890v8,0,84.43,0.0,0,0
New Balance,64,Fresh Foam Vongo v4,16,139.95,4.0,80,92
New Balance,69,1540v3,447,169.95,4.0,81,93
New Balance,60,Minimus 10v1,508,114.95,4.0,48,62
New Balance,81,Fresh Foam Tempo,93,78.68,4.0,81,85
New Balance,81,Fresh Foam Tempo,93,81.12,4.0,81,85
New Balance,93,Nitrel v4,16,69.95,4.0,81,100
New Balance,69,1540v3,447,169.95,4.0,81,93
New Balance,73,940v4,205,129.95,4.0,87,84
New Balance,80,680v6,140,74.95,4.0,81,77
New Balance,74,Fresh Foam 1080v10,508,114.99,4.0,88,82
New Balance,81,Fresh Foam Tempo,93,69.95,4.0,81,85
New Balance,83,Fresh Foam Roav,20,79.95,4.0,89,100
New Balance,80,680v6,140,74.95,4.0,81,77
New Balance,74,Fresh Foam 1080v10,508,119.99,4.0,88,82
New Balance,81,Fresh Foam Tempo,93,92.4,4.0,81,85
New Balance,85,510v5,55,69.95,4.0,87,91
New Balance,74,Fresh Foam 1080v10,508,119.99,4.0,88,82
New Balance,73,Fresh Foam Arishi v3,54,69.95,4.0,83,86
New Balance,81,Fresh Foam Tempo,93,69.95,4.0,81,85
New Balance,85,510v5,55,69.95,4.0,87,91
New Balance,73,940v4,205,129.95,4.0,87,84
New Balance,73,Fresh Foam Arishi v3,54,69.95,4.0,83,86
New Balance,73,Fresh Foam Arishi v3,54,64.95,4.0,83,86
New Balance,85,510v5,55,59.95,4.0,87,91
New Balance,86,Fresh Foam Roav Tee Shirt,33,79.95,5.0,87,93
New Balance,73,940v4,205,129.95,4.0,87,84
New Balance,80,840v4,329,124.99,4.0,89,89
New Balance,100,Fresh Foam Roav Backpack,5,74.95,4.0,80,80
New Balance,80,840v4,329,124.95,4.0,89,89
New Balance,74,Made in US 990v5,0,174.95,0.0,87,90
New Balance,74,Fresh Foam 1080v10,508,119.99,4.0,88,82
New Balance,80,680v6,140,74.95,4.0,81,77
New Balance,86,Fresh Foam Roav Tee Shirt,33,79.95,5.0,87,93
New Balance,74,Made in US 990v5,0,174.95,0.0,87,90
New Balance,74,Made in US 990v5,0,174.95,0.0,87,90
Brooks,0,Catamount,33,159.95,5.0,0,0
Brooks,0,Ricochet 3,0,119.95,0.0,0,0
Brooks,75,Levitate 4,38,149.95,3.0,75,88
Brooks,100,Bedlam 3,19,149.95,4.0,100,100
Brooks,100,Caldera 4,75,139.95,4.0,85,85
Brooks,85,Launch 7,134,74.95,4.0,80,85
Brooks,75,Levitate 4,38,149.95,3.0,75,88
Brooks,0,Launch 8,0,99.95,0.0,0,0
Brooks,100,Bedlam 3,19,149.95,4.0,100,100
Brooks,75,Levitate 4,38,149.95,3.0,75,88
Brooks,75,Levitate 4,38,149.95,3.0,75,88
Brooks,84,Revel 4,98,99.95,4.0,88,96
Brooks,0,Launch GTS 8,0,99.95,0.0,0,0
Brooks,100,Hyperion Elite II,37,249.95,4.0,100,100
Brooks,100,Caldera 4,75,139.95,4.0,85,85
Brooks,0,Launch 8,0,99.95,0.0,0,0
Brooks,92,Hyperion Tempo,155,149.95,5.0,80,93
Brooks,84,Revel 4,98,99.95,4.0,88,96
Brooks,75,Levitate 4,38,149.95,3.0,75,88
Brooks,75,Levitate 4,38,149.95,3.0,75,88
Brooks,100,Divide,31,74.95,4.0,100,100
Brooks,0,Launch GTS 8,0,99.95,0.0,0,0
Brooks,84,Revel 4,98,99.95,4.0,88,96
Brooks,0,Launch 8,0,99.95,0.0,0,0
Brooks,85,Launch 7,134,74.95,4.0,80,85
Brooks,0,Launch 8,0,99.95,0.0,0,0
Brooks,92,Hyperion Tempo,155,149.95,5.0,80,93
Brooks,100,Divide,31,74.95,4.0,100,100
Brooks,85,Launch 7,134,74.95,4.0,80,85
Brooks,78,Glycerin 18,266,129.95,4.0,88,89
Brooks,100,Ricochet 2,47,89.95,4.0,100,82
Brooks,100,Caldera 4,75,139.95,4.0,85,85
Brooks,76,Anthem 3,59,69.95,4.0,88,88
Brooks,84,Revel 4,98,99.95,4.0,88,96
Brooks,85,Launch 7,134,74.95,4.0,80,85
Brooks,85,Ghost 13,265,129.95,4.0,80,86
Brooks,84,Revel 4,98,99.95,4.0,88,96
Brooks,76,Anthem 3,59,69.95,4.0,88,88
Brooks,75,Levitate 4,38,149.95,3.0,75,88
Brooks,92,Hyperion Tempo,155,149.95,5.0,80,93
Brooks,75,Levitate 4,38,149.95,3.0,75,88
Brooks,100,Cascadia 15,33,129.95,4.0,80,60
Brooks,92,Hyperion Tempo,155,149.95,5.0,80,93
Brooks,100,Ricochet 2,47,89.95,4.0,100,82
Brooks,84,Revel 4,98,99.95,4.0,88,96
Brooks,100,Ricochet 2,47,89.95,4.0,100,82
Altra Footwear,86,Lone Peak 4.5,51,89.95,4.0,71,90
Mizuno,92,Wave Inspire 16,93,99.95,5.0,77,92
Hoka One One,76,Bondi 7,572,149.95,4.0,84,86
Under Armour,60,Surge 2,16,54.99,4.0,87,93
Hoka One One,74,Clifton 7,476,129.95,4.0,83,78
On,88,Cloud Waterproof,55,149.95,4.0,75,87
Under Armour,80,Charged Pursuit 2,28,59.95,4.0,89,100
Hoka One One,69,Speedgoat 4,251,144.95,4.0,85,81
Under Armour,60,Surge 2,16,52.8,4.0,87,93
Hoka One One,75,Carbon X,286,140.0,5.0,60,75
On,75,Cloudflyer,8,159.95,4.0,100,88
On,69,Cloudswift,109,149.95,4.0,85,89
On,82,Cloud X,23,139.95,5.0,77,95
