brand,mod_arc_s,model,num_review,price,rating,true_fit,true_width
Nunn Bush,74,Bourbon Street Moc Toe Oxford with KORE Slip Resistant Walking Comfort Technology,145,59.95,4.0,87,77
Stacy Adams,0,Farwell Wing Tip Double Monk Strap,1,56.93,5.0,0,0
Clarks,0,Whiddon Cap,0,69.97,0.0,0,0
Bostonian,93,Dezmin Plain,32,57.02,5.0,90,100
Nunn Bush,80,Cam Oxford Casual Walking Shoe,154,59.95,4.0,85,79
Massimo Matteo,86,6-Eye Wing Tip,62,127.99,4.0,44,83
Clarks,100,Grandin Plain,2,61.58,3.0,100,100
Ted Baker,100,Fually,1,79.97,1.0,100,100
Rockport,59,Office Essentials Ellingwood,334,87.99,4.0,88,83
Kenneth Cole Reaction,60,Klay Flex Lace-Up D,6,86.17,3.0,60,80
Steve Madden,0,Alk,0,64.95,0.0,0,0
Rockport,62,Office Essentials Evander,256,109.95,4.0,87,90
Nunn Bush,87,Ridgetop Plain Toe Oxford,19,69.95,5.0,60,80
Florsheim,100,Sorrento Cap Toe Oxford,17,114.95,5.0,100,100
Florsheim,100,Forecast Waterproof Cap Toe Oxford,1,124.95,4.0,100,100
Florsheim,100,Uptown Wing Tip Oxford,253,114.95,4.0,80,80
ECCO,0,Citytray Cap Toe Tie,0,180.0,0.0,0,0
Johnston & Murphy,50,Cody Plain Toe,4,169.0,5.0,100,100
Johnston & Murphy,50,Cody Plain Toe,4,169.0,5.0,100,100
Kenneth Cole New York,75,Merge,82,100.0,4.0,71,88
Johnston & Murphy,59,Melton Classic Dress Cap Toe Oxford,376,178.95,4.0,76,87
Johnston & Murphy,75,Daley Cap Toe,4,79.9,4.0,75,75
Stacy Adams,87,Abbott Slip Resistant Cap Toe Oxford,23,59.99,4.0,71,100
Rockport,83,Marshall Plain Toe Oxford,63,99.99,4.0,70,85
Timberland,100,Kendrick Waterproof Oxford,52,99.34,4.0,50,83
Johnston & Murphy,80,Bradford Dress Cap Toe Oxford,22,129.95,4.0,86,90
Stacy Adams,100,Talford Cap Toe Oxford,8,119.95,5.0,100,100
Stacy Adams,100,Talford Cap Toe Oxford,8,99.97,5.0,100,100
Johnston & Murphy,59,Melton Classic Dress Cap Toe Oxford,376,178.95,4.0,76,87
Florsheim,100,Salerno Cap Toe Oxford,60,114.95,5.0,100,67
To Boot New York,0,Ultra Flex Conner,0,395.0,0.0,0,0
Stacy Adams,75,Desmond Cap-Toe Monk-Strap Loafer,64,94.99,4.0,88,93
Hush Puppies,86,Shepsky Plain Toe Oxford,7,89.95,5.0,86,71
Rockport,100,Slayter Plain Toe,5,99.95,4.0,100,100
Massimo Matteo,0,Almansa Oxford Side Lace,0,175.0,0.0,0,0
Massimo Matteo,0,Almansa Blucher,0,170.0,0.0,0,0
Massimo Matteo,0,Almansa Blucher,0,170.0,0.0,0,0
Clarks,100,Un Tailor Tie,4,140.0,4.0,75,100
Deer Stags,0,Trace,0,30.95,0.0,0,0
Clarks,75,Vargo Plain,4,99.95,3.0,75,75
Nunn Bush,0,Fuse Plain Toe Oxford,1,69.95,2.0,0,0
CARLOS by Carlos Santana,60,Woodstock,15,158.95,4.0,86,87
