brand,mod_arc_s,model,num_review,price,rating,true_fit,true_width
Reebok Work,67,"Rapid Response RB 8"" Soft Toe",3,121.99,5.0,100,100
Bed Stu,79,Protege,32,325.0,5.0,72,77
Dr. Martens Work,60,Ironbridge MG ST,11,144.95,4.0,91,82
BOSS Hugo Boss,0,Brogue Detail Suede Lace-Up Boot,0,398.0,0.0,0,0
BOSS Hugo Boss,0,Brogue Detail Suede Lace-Up Boot,0,398.0,0.0,0,0
BOSS Hugo Boss,0,Dart Brush Leather Lace-Up Boot,0,298.0,0.0,0,0
BOSS Hugo Boss,0,Firstclass Desert Boot,0,380.0,0.0,0,0
BOSS Hugo Boss,0,Firstclass Desert Boot,0,380.0,0.0,0,0
Ariat,100,Circuit Highway,1,209.95,1.0,100,100
Durango,0,"Maverick Pro 12"" Waterproof  Steel Toe",0,190.0,0.0,0,0
Durango,100,"Arena Pro 12"" Square Toe",1,200.0,5.0,100,100
Kenneth Cole New York,100,Tully Chelsea,1,189.0,5.0,100,100
Kenneth Cole Reaction,0,Klay Flex Chelsea,0,145.0,0.0,0,0
hari mari,100,Nokona CanyonTrek Chukka,1,219.95,5.0,100,100
Ariat,0,Quickdraw Venttek,1,219.95,5.0,0,0
Lucchese,83,Rusty,21,294.95,5.0,67,100
,0,,0,0,0.0,0,0
Ariat,0,Reinsman Ultra,0,130.7,0.0,0,0
hari mari,0,Canyontrek Chukka,0,159.95,0.0,0,0
hari mari,100,Adobe Desert Boot,8,149.95,4.0,75,100
hari mari,100,Nokona Adobe Desert Boot,1,199.95,1.0,100,100
hari mari,0,Canyontrek Chukka,0,139.95,0.0,0,0
Territory Boots,0,Raider Cap Toe Ankle Boot,0,104.99,0.0,0,0
Territory Boots,0,Summit Ankle Boot,0,99.99,0.0,0,0
Territory Boots,0,Titan Cap Toe Ankle Boot,0,99.99,0.0,0,0
Territory Boots,0,Titan Cap Toe Ankle Boot,0,99.99,0.0,0,0
Territory Boots,100,Yukon Cap Toe Ankle Boot,1,104.99,5.0,100,100
Territory Boots,0,Patton Chukka Boot,0,89.99,0.0,0,0
Frye,0,Smith Inside Zip,0,297.95,0.0,0,0
Frye,0,Paul Bal Lace-Up,0,327.95,0.0,0,0
Frye,100,Conway Harness,2,239.99,5.0,100,100
Timberland,0,Oakrock Waterproof MT Zip Boot,0,174.95,0.0,0,0
Florsheim Work,100,Utility,5,129.99,5.0,67,100
Thomas & Vine,0,Hendrix Chelsea Boot,0,59.99,0.0,0,0
Thomas & Vine,0,Gideon Ankle Boot,0,79.99,0.0,0,0
Thomas & Vine,100,Corbin Plain Toe Chelsea Boot,1,114.99,4.0,100,100
Thomas & Vine,0,Apollo Wing Tip Boot,0,124.99,0.0,0,0
Thomas & Vine,0,Apollo Wing Tip Boot,0,124.99,0.0,0,0
Thomas & Vine,0,Watson Wing Tip Chelsea Boot,0,114.99,0.0,0,0
Thomas & Vine,0,Smash Chelsea Boot,1,49.99,5.0,0,0
Thomas & Vine,0,Lowry Split Toe Ankle Boot,0,119.99,0.0,0,0
Thomas & Vine,0,Hendrix Chelsea Boot,0,59.99,0.0,0,0
,0,,0,0,0.0,0,0
Deer Stags,0,Archer,0,80.0,0.0,0,0
GINANNI,0,Marbella,0,240.0,0.0,0,0
GINANNI,0,Henry,0,275.0,0.0,0,0
,0,,0,0,0.0,0,0
Thomas & Vine,0,Watson Wing Tip Chelsea Boot,0,114.99,0.0,0,0
Thomas & Vine,0,Smash Chelsea Boot,1,49.99,5.0,0,0
Thomas & Vine,0,Nash Wing Tip Chelsea Boot,0,119.99,0.0,0,0
Thomas & Vine,0,Phoenix Chukka Boot,0,59.99,0.0,0,0
Thomas & Vine,0,Lowry Split Toe Ankle Boot,0,119.99,0.0,0,0
